Date,Open,High,Low,Close,Volume,Adj Close
2023-02-01,51530,51680,51400,51460,148,51460
2023-02-02,53260,53260,52920,52960,107,52960
2023-02-03,53290,53730,53290,53730,52,53730
2023-02-06,52910,52910,52640,52680,61,52680
2023-02-07,52600,52600,52520,52590,18,52590
2023-02-08,53590,53970,53320,53860,10295,53860
2023-02-09,52640,52730,52620,52680,206,52680
2023-02-10,51510,51530,51200,51350,134,51350
2023-02-13,51350,51420,51160,51360,102,51360
2023-02-14,52870,52870,52640,52640,122,52640
2023-02-15,52670,52670,52270,52340,157,52340
2023-02-16,53050,53370,53050,53320,248,53320
2023-02-17,51300,51480,51140,51170,397,51170
2023-02-20,51140,51370,51040,51370,381,51370
2023-02-21,51080,51080,50750,50880,255,50880
2023-02-22,49410,49490,49270,49460,1255,49460
2023-02-24,49420,49530,49380,49490,614,49490
2023-02-27,48550,48730,48480,48510,444,48510
2023-02-28,48860,48920,48690,48760,120,48760
2023-03-01,48170,48510,47990,48480,2509,48480
2023-03-02,48080,48170,47400,47480,1387,47480
2023-03-03,48520,48610,48420,48530,900,48530
2023-03-06,50140,50470,50080,50380,2972,50380
2023-03-07,50380,50540,50340,50500,1217,50500
2023-03-08,48740,48800,48630,48700,3366,48700
2023-03-09,48860,48860,48630,48780,3444,48780
2023-03-10,46860,46870,46280,46380,14572,46380
2023-03-13,46770,47320,46620,47290,22107,47290
2023-03-14,45590,46070,45560,45840,9219,45840
2023-03-15,46950,47150,46840,46980,3116,46980
2023-03-16,46280,46810,46270,46650,3971,46650
2023-03-17,47930,48070,47790,48040,10136,48040
2023-03-20,47440,47540,46750,46790,7216,46790
2023-03-22,48890,49000,48830,48950,3925,48950
2023-03-23,47430,47920,47400,47890,5940,47890
2023-03-24,47730,47770,47400,47670,3200,47670
2023-03-27,48590,48650,48400,48600,2796,48600
2023-03-28,48420,48420,48290,48390,733,48390
2023-03-29,48310,48760,48310,48760,1111,48760
2023-03-30,49310,49580,49310,49570,4507,49570
2023-03-31,50140,50310,50120,50120,3889,50120
2023-04-03,51160,51220,51030,51050,1767,51050
2023-04-04,51560,51800,51560,51720,1662,51720
2023-04-05,51260,51340,51120,51130,3884,51130
2023-04-06,50790,50790,50570,50620,379,50620
2023-04-07,51210,51230,51130,51190,306,51190
2023-04-10,51380,51400,51200,51200,699,51200
2023-04-11,51500,51550,51430,51510,494,51510
2023-04-12,51470,51470,51390,51460,328,51460
2023-04-13,50740,51040,50740,51000,426,51000
2023-04-14,52160,52300,52160,52220,1485,52220
2023-04-17,52220,52280,52170,52240,798,52240
2023-04-18,52310,52380,52250,52350,1225,52350
2023-04-19,52330,52390,52230,52230,474,52230
2023-04-20,52080,52210,52050,52050,223,52050
2023-04-21,51720,51840,51700,51710,253,51710
2023-04-24,51680,51680,51370,51390,254,51390
2023-04-25,51780,51850,51500,51590,501,51590
2023-04-26,50670,50770,50610,50770,860,50770
2023-04-27,50010,50220,49940,50220,3672,50220
2023-04-28,51540,51720,51520,51690,2487,51690
